month,revenue,costs,profit,avg_margin,return_rate
2024-01,306.55,236.07999999999998,70.47,0.15,0.0000
2024-02,1006.0500000000002,789.5500000000001,216.50000000000003,0.18,0.0000
2024-03,2819.47,1987.7500000000002,831.7199999999999,0.10,0.0500
2024-04,3340.5099999999998,2442.6900000000005,897.8199999999999,0.17,0.0833
2024-05,6829.230000000001,4489.709999999999,2339.5200000000004,0.27,0.0513
2024-06,5575.61,4414.66,1160.95,0.12,0.0455
2024-07,5827.44,4137.179999999999,1690.26,0.13,0.0500
2024-08,8166.009999999998,6581.23,1584.78,0.12,0.0725
2024-09,7814.330000000002,7000.020000000001,814.3100000000003,0.11,0.0750
2024-10,6854.5599999999995,5460.380000000003,1394.1799999999994,0.08,0.1053
2024-11,9778.750000000002,7254.999999999999,2523.749999999999,0.17,0.0465
2024-12,13580.199999999995,10063.110000000002,3517.0900000000006,0.18,0.0367
2025-01,12374.470000000008,9706.460000000003,2668.0100000000007,0.12,0.0446
2025-02,12150.039999999999,8655.250000000002,3494.7899999999977,0.19,0.0800
2025-03,16281.159999999994,12215.110000000002,4066.0500000000015,0.13,0.0703
2025-04,14512.55,10305.750000000002,4206.800000000002,0.16,0.0561
2025-05,18314.839999999993,13590.440000000011,4724.4000000000015,0.12,0.0392
2025-06,19823.619999999995,15002.33,4821.290000000002,0.13,0.0645
2025-07,18465.749999999993,14429.780000000006,4035.970000000003,0.11,0.0809
2025-08,17126.899999999998,13145.179999999998,3981.72,0.12,0.1006
2025-09,14036.749999999996,11292.11,2744.6399999999994,0.13,0.1280
2025-10,9938.240000000003,7744.620000000001,2193.619999999999,0.12,0.0769
2025-11,7722.05,6046.979999999998,1675.07,0.11,0.0923
2025-12,3369.9700000000007,2804.129999999999,565.84,0.22,0.1563
2026-01,303.32,189.04,114.28,0.38,0.0000
